guideline_id,filename,guideline_name,icd10,age_category,file_size_bytes,sha256,candidate_section_count,candidate_chunk_count
162_3,162_3.pdf,Головная боль напряжения (ГБН),"G44, G44.2, G44.3, G44.4, G44.8, G90.8",Взрослые,2133440,5fd2b2dfe5c4d8d48c2942dab300db1c4e835ea4212552daee21175f773059cf,30,83
164_2,164_2.pdf,Злокачественные новообразования полости рта,"C02.0, C02.1, C02.2, C02.3, C02.8, C02.9, C03, C04, C05.0, C06",Взрослые,1644366,cf22d7aa493f496eb6ee5f313890fb7c2a850ecf5cf0d79d9bf63b437048117c,10,94
165_2,165_2.pdf,Миастения,"G70.0, G70.2, G70.8, G70.9","Взрослые, дети",1528248,07dd58e80ae4831c6432a6655444f74fb9e53e66494a866573ce98a0ce35204e,20,95
169_2,169_2.pdf,Мигрень,"G43.0, G43.1, G43.2, G43.3, G43.8, G43.9, G44.0, G44.1, G44.4",Дети,2058860,1685bedb1980827d3db44ed367192655ca8c122878eb8e3a1797bc7ae35d35e7,25,68
16_4,16_4.pdf,Туберкулез у взрослых,"A15, A16, A17, A18, A19",Взрослые,2092473,8e17a683f943854678a64b4aabe6932134d5a8756d03c30dbf9807fb9c1c21e2,41,284
170_3,170_3.pdf,Специфические расстройства развития речи у детей,"F80.0, F80.1, F80.2, F80.8",Дети,1654795,3b0343cadff8935c9dc1012b7f6b7064b834ac125846653763dd93264fd69ef1,17,37
172_3,172_3.pdf,Анальная трещина,"K60.0, K60.1, K60.2",Взрослые,1102891,c8cda4a83a74a8dd8b72dd8418472b9e0084d61a7610539b8959e68b142e9dee,32,59
173_2,173_2.pdf,Полип анального канала,K62.0,Взрослые,616431,7ccfc6593ef21292783200ee4da99bbd915cf4225d5588fb70982716a8a64041,35,44
174_3,174_3.pdf,Ангиодисплазия кишечника,"K55.2, K55.3, K55.8",Взрослые,928787,9e17232d79b84f1b2a5768e96c8af09866aa03853723c9f11818ab57d6cda220,35,50
175_3,175_3.pdf,Болезнь Гиршпрунга,"Q43.1, Q43.8",Взрослые,1218897,aa4897bc93104ee7096249d018d72b86c762de310a7ba8e0d1b55be08c9720b4,28,46
176_2,176_2.pdf,Болезнь Крона,K50,Взрослые,3146182,2b8f8bf8564f62207323e594a3786c64fd4bf508f5ee432a2b11ab78496ddab8,43,127
177_5,177_5.pdf,Выпадение прямой кишки,"K62.2, K62.3, K63.3",Взрослые,1356942,8871b71486810ea5b9461d93ecefd1afcae444195a9cf6e81d2fef36f14256ec,31,59
178_2,178_2.pdf,Геморрой,K64,Взрослые,1455829,84e0811097393f5a3b4c0f58652c29259d7b2eea6777ad2d1515e42e2359e3c7,41,77
179_3,179_3.pdf,Дивертикулярная болезнь,"K57.0, K57.1, K57.2, K57.3, K57.4, K57.5, K57.8, K57.9",Взрослые,1547734,39f78c16da62aad21e6e47911af55a2f9a0b62d97009640951c76f3c71787c2e,29,66
17_2,17_2.pdf,Гидронефроз,"N13.0, N13.1, Q62.0","Взрослые, дети",1047069,f4294b16e01e20b2e5df1fbe15b972e21f9d02c037ead40657e0adbcb3736c4a,21,54
182_3,182_3.pdf,Идиопатический мегаколон,K59.3,"Взрослые, дети",807640,dbd347f6be97e86f200545555b55fa6203be5aecd7ca43b1fd70fe330686df4c,35,57
183_3,183_3.pdf,Недостаточность анального сфинктера,"K62.8, R15",Взрослые,1263129,7ef23e2e91bc725a428588c9663a33f1b4821c81e8b78615023987994bb2b7c9,51,78
185_3,185_3.pdf,Острый парапроктит,"K61, K61.0, K61.1, K61.2, K61.3, K61.4","Взрослые, дети",716899,66f0275a5dcae5656734be212fc48c5d2fb21aaa743542a8c6e14041c979bb55,28,45
187_3,187_3.pdf,Ректовагинальный свищ,N82.3,Взрослые,1386729,28f480202e30741c2a6e64e00a7c91b9ba4f393c042ceb002e7b87027518cd7a,24,51
188_3,188_3.pdf,Ректоцеле,N81.6,Взрослые,477265,0a0f8d53612a90fec35c8046f5eba94014f05d9ac0288d6ecd4ce7cc5c7909bd,22,42
18_2,18_2.pdf,Болезнь Меньера,H81.0,Взрослые,638087,6d118d66fcd8cc9f208540d939b3a6871e8891b022dfb97043e7acae4aff135c,23,35
191_2,191_2.pdf,Свищ заднего прохода и прямой кишки,"K60.3, K60.4, K60.5",Взрослые,931899,b74bdbf97465a8e93f16bd009484f71b7f3441ca816dd623aeb1752bc72a4b26,28,64
193_2,193_2.pdf,Язвенный колит,K51,Взрослые,5423398,8eb35467e24bbd5eefa4d48f3d9a084046f2b8e1ab598bf21bb97b5f0f1c1a06,44,212
194_2,194_2.pdf,Хламидийная инфекция,"A56, A74","Взрослые, дети",936453,56123f20d4d50c1442e0d026e4faf87d516e5b483f069dd8713e80888190ac94,1,38
196_2,196_2.pdf,Гнездная алопеция,L63,"Взрослые, дети",439975,97a7d5ab318c97feafd8c802cba7040fea2b0a78bd79c712ed10265e3443f2c3,22,45
197_2,197_2.pdf,Сифилис,"A50, A51, A52, A53","Взрослые, дети",2209810,291ff860e1df1adcdf14101c5546927736b69f7c7bcf52d08abef0a0808c452b,37,99
1_4,1_4.pdf,Рак печени (гепатоцеллюлярный),"C22.0, D37.6",Взрослые,2421552,28b3e393e2dec61dee0abf16e6842f41018236f83b9cfcbcdf5e581e7d1f16dc,36,99
200_3,200_3.pdf,Эритразма,L08.1,"Взрослые, дети",1217816,7c0d7495a7e12cda9fda8768599a433a706d734be08a45b1f90344fafde34058,19,24
204_2,204_2.pdf,Аногенитальные (венерические) бородавки,A63.0,"Взрослые, дети",874247,b93f56ba705e232a86d0d9ecb23df5045f94adfd52b6478e8f175be7519fef45,1,38
205_2,205_2.pdf,Вирусные бородавки,B07,"Взрослые, дети",9713784,f42af7a3e9951ba79171257d2320e8d2b3e89b87b70593fce43a7bf943fa4fd5,1,0
206_2,206_2.pdf,Бактериальный вагиноз,N89,"Взрослые, дети",10377446,1df77f5c6c202ac19a4db48ff7183d9ea40926872b7c227ba1b0b35324687841,1,0
212_2,212_2.pdf,Дерматит герпетиформный,L13.0,"Взрослые, дети",1044184,dfb7b5058bd67c31a7b3b2c0cfb2945a78e08f4e54a8b905c17effa669ebb9b9,22,34
213_3,213_3.pdf,Дерматит контактный,"L23, L24, L25","Взрослые, дети",937399,27494c6eb2fc0c61c20e4d7f06365a8a641455dff6fac399bdb9532fecb07d41,21,55
215_3,215_3.pdf,Себорейный дерматит ,L21,"Взрослые, дети",1122536,91196074c54e53c07193049d520302028d47c5b9c7684d60948cce18d4a4a82e,22,38
216_2,216_2.pdf,"Урогенитальные заболевания, вызванные Mycoplasma genitalium",A63.8,"Взрослые, дети",1090607,03dd80d2f18ba0522d8f1adb0bcf34daf17abe7cd8ed0c10d6c3917f9bcda4a3,1,28
