Торговое наименование,МНН (группировочное или химическое наименование),Лекарственная форма,Дозировка,Исключение отдельных групп пациентов
Аллохол,Активированный уголь+Желчь+Крапивы двудомной листья+Чеснока посевного луковицы,"таблетки, покрытые оболочкой",,
Аллохол,Активированный уголь+Желчь+Крапивы двудомной листья+Чеснока посевного луковицы,"таблетки, покрытые оболочкой",,
Аллохол,Активированный уголь+Желчь+Крапивы двудомной листья+Чеснока посевного луковицы,"таблетки, покрытые пленочной оболочкой",,
Аллохол Реневал,Активированный уголь+Желчь+Крапивы двудомной листья+Чеснока посевного луковицы,"таблетки, покрытые пленочной оболочкой",,
Метеоспазмил,Алверин+Симетикон,капсулы,60 мг+300 мг,
Спазмизан,Алверин+Симетикон,капсулы,60 мг+300 мг,
Алмагель® А,Алгелдрат+Бензокаин+Магния гидроксид,суспензия для приема внутрь,,
АЛГЕМАГ А,Алгелдрат+Бензокаин+Магния гидроксид,суспензия для приема внутрь,,
Магаплон А,Алгелдрат+Бензокаин+Магния гидроксид,суспензия для приема внутрь,,
АЛЬМАКСИЦИД А,Алгелдрат+Бензокаин+Магния гидроксид,суспензия для приема внутрь,,
Астрамаг А,Алгелдрат+Бензокаин+Магния гидроксид,суспензия для приема внутрь,,
Мальвацид® А,Алгелдрат+Бензокаин+Магния гидроксид,суспензия для приема внутрь,,
Би-Коден,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
Алмагель,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
Маалокс,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
Нейтралакс,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
Маалокс,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
Гастрасан® А,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
АЛГЕМАГ,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
АЛЬМАКСИЦИД,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
Мальвацид®,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
