Торговое наименование,МНН (группировочное или химическое наименование),Лекарственная форма,Дозировка,Исключение отдельных групп пациентов
Прамипексол,Прамипексол,таблетки,"0.25 мг, 0.5 мг, 1 мг, 1.5 мг",
Прамипексол Канон,Прамипексол,таблетки,"0.25 мг,1 мг",
Прамипексол,Прамипексол,таблетки,"0.25 мг,1 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Опримея,Прамипексол,таблетки,"0.088 мг, 0.18 мг, 0.7 мг",
Мифепристон,Мифепристон,таблетки,200 мг,
Мифедвест®,Мифепристон,таблетки,200 мг,
Мелоксикам ДС,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мовасин,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
МЕЛОКСИКАМ,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелофлекс Ромфарм,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам-Акрихин,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
МЕЛОКСИКАМ,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелбек,Мелоксикам,раствор для внутримышечного введения,15 мг/1.5 мл,
АМЕЛОТЕКС®,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Артрозан,Мелоксикам,раствор для внутримышечного введения,6 мг/мл,
Мелоксикам-СЗ,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам Полисан®,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
МЕЛОКСИКАМ,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мелоксикам Велфарм,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Энтелокс,Мелоксикам,раствор для внутримышечного введения,6 мг/мл,
Мелоксикам-АКОС,Мелоксикам,раствор для внутримышечного введения,10 мг/мл,
Мовагейн Экспресс,Мелоксикам,"таблетки, диспергируемые в полости рта","7.5 мг, 15 мг",Пациенты с фенилкетонурией
Мелоксикам-Ксантис,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам Авексима,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам ДС,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам-Тева,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам-OBL,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам-ВЕРТЕКС,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам Реневал,Мелоксикам,таблетки,"7.5 мг, 15 мг",
МЕЛОКСИКАМ-ПРАНА,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам-Акрихин,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам Канон,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Генитрон,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Ревмарт,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелбек,Мелоксикам,таблетки,7.5 мг,
Мелбек® форте,Мелоксикам,таблетки,15 мг,
Эксен-Сановель,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мовасин,Мелоксикам,таблетки,"7.5 мг, 15 мг",
АМЕЛОТЕКС,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Артрозан,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам-OBL,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Мелоксикам Медисорб,Мелоксикам,таблетки,"7.5 мг, 15 мг",
Плерифор,Плериксафор,раствор для подкожного введения,20 мг/мл,
Плериксафор Дж,Плериксафор,раствор для подкожного введения,20 мг/мл,
Плериксафор-Рус,Плериксафор,раствор для подкожного введения,20 мг/мл,
Фозиноприл-OBL,Фозиноприл,таблетки,"10 мг, 20 мг",
Фозинап,Фозиноприл,таблетки,"10 мг, 20 мг",
Фозиноприл,Фозиноприл,таблетки,"10 мг, 20 мг",
Фозиноприл,Фозиноприл,таблетки,"10 мг, 20 мг",
Фозикард,Фозиноприл,таблетки,"5 мг, 10 мг, 20 мг",
Фозиноприл,Фозиноприл,таблетки,"10 мг, 20 мг",
Домстал,Домперидон,таблетки,10 мг,
Мотинорм,Домперидон,таблетки,10 мг,
Мотониум,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Нормотил,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
ДРАСПАЗОЛ®,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Домперидон,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Домперидон,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Домперидон-Тева,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Мотогастрик,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Домперидон-Ксантис,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Перистальт,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Мотижект®,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Пассажикс,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Прионтил,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Мотилак,Домперидон,"таблетки, покрытые пленочной оболочкой",10 мг,
Мотинорм,Домперидон,сироп,5 мг/5 мл,"Пациенты с дефицитом сахаразы/изомальтазы, глюкозо-галактозной мальабсорбцией"
Домперидон,Домперидон,суспензия для приема внутрь,1 мг/мл,
Мотилорус,Домперидон,таблетки диспергируемые,10 мг,"Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Домперидон Реневал,Домперидон,"таблетки, диспергируемые в полости рта",10 мг,"Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Реадели®,Галсульфаза,концентрат для приготовления раствора для инфузий,1 мг/мл,
Ивинак-СОЛОфарм,Бромфенак,капли глазные,0.09%,
Бромфенак Космо,Бромфенак,капли глазные,0.09%,
Бромфенак-СЗ,Бромфенак,капли глазные,0.09%,
Броксинак,Бромфенак,капли глазные,0.09%,
ОКОФЕНАК,Бромфенак,капли глазные,0.09%,
Винорелбин-Тева,Винорелбин,концентрат для приготовления раствора для инфузий,10 мг/мл,
Винорелбин Келун-Казфарм,Винорелбин,концентрат для приготовления раствора для инфузий,10 мг/мл,
Фирелбин,Винорелбин,концентрат для приготовления раствора для инфузий,10 мг/мл,
Винорелбин-АМЕДАРТ,Винорелбин,концентрат для приготовления раствора для инфузий,10 мг/мл,
Маверекс,Винорелбин,концентрат для приготовления раствора для инфузий,10 мг/мл,
Винорелбин,Винорелбин,концентрат для приготовления раствора для инфузий,10 мг/мл,
Винкатера,Винорелбин,концентрат для приготовления раствора для инфузий,10 мг/мл,
ВИНОРЕЛБИН,Винорелбин,концентрат для приготовления раствора для инфузий,10 мг/мл,
Цитувин,Винорелбин,концентрат для приготовления раствора для инфузий,10 мг/мл,
Фирелбин,Винорелбин,капсулы,"20 мг, 30 мг",
Риноксил® окси,Оксиметазолин,капли назальные,"0.01%, 0.025%, 0.05%",
Риксинт рино,Оксиметазолин,капли назальные,"0.01%, 0.025%, 0.05%",
ОКСИМЕТАЗОЛИН,Оксиметазолин,капли назальные,"0.01%, 0.025%, 0.05%",
ОКСИМЕТАЗОЛИН,Оксиметазолин,капли назальные,"0.01%, 0.025%, 0.05%",
СОЛНАЗОЛ,Оксиметазолин,капли назальные,"0.01%, 0.025%, 0.05%",
СОПИОКСИМ® КАП,Оксиметазолин,капли назальные,"0.01%, 0.025%, 0.05%",
Риностоп® Экстра,Оксиметазолин,капли назальные,"0.01%, 0.025%, 0.05%",
Оксиметазолин,Оксиметазолин,капли назальные,"0.01%, 0.025%, 0.05%",
Ринделит окси,Оксиметазолин,капли назальные,"0.01%, 0.025%, 0.05%",
Оксиметазолин,Оксиметазолин,капли назальные,"0.01%, 0.025%, 0.05%",
Оксиметазолин АВВА,Оксиметазолин,капли назальные,"0.1 мг/мл, 0.25 мг/мл, 0.5 мг/мл,",
Оксифрин,Оксиметазолин,капли назальные,0.01%,
СНУППИК,Оксиметазолин,капли назальные,0.01%,
Оксифрин герта,Оксиметазолин,спрей назальный дозированный,"11.25 мкг/доза, 22.5 мкг/доза",
СНУПОКСИ,Оксиметазолин,спрей назальный дозированный,"11.25 мкг/доза, 22.5 мкг/доза",
Оксифрин,Оксиметазолин,спрей назальный дозированный,"11.25 мкг/доза, 22.5 мкг/доза",
Оксифлурин НС,Оксиметазолин,спрей назальный,"0.025%, 0.05%",
Оксилайн Рино,Оксиметазолин,спрей назальный,"0.025%, 0.05%",
ОКСИМЕТАЗОЛИН,Оксиметазолин,спрей назальный,"0.25 мг/мл, 0.5 мг/мл",
ОКСИМЕТАЗОЛИН,Оксиметазолин,спрей назальный,"0.025%, 0.05%",
Консафри Окси,Оксиметазолин,спрей назальный,"0.025%, 0.05%",
Оксиметазолин,Оксиметазолин,спрей назальный,"0.025%, 0.05%",
СОПИОКСИМ®С,Оксиметазолин,спрей назальный,"0.025%, 0.05%",
РАНКОФ® Рино,Оксиметазолин,спрей назальный,"0.025%, 0.05%",
ФЛЮСТОПРИНО,Оксиметазолин,спрей назальный,"0.025%, 0.05%",
Оксиметазолин,Оксиметазолин,спрей назальный,"0.025%, 0.05%",
Риностоп® Экстра,Оксиметазолин,спрей назальный,0.05%,
Риностоп® Экстра,Оксиметазолин,спрей назальный,0.025%,
Оксиметазолин,Оксиметазолин,спрей назальный,0.05%,
Оксиметазолин АВВА,Оксиметазолин,спрей назальный,0.5 мг/мл,
Риноксил® плюс,Оксиметазолин,спрей назальный,0.05%,
Риноксил ментол,Оксиметазолин,спрей назальный,0.05%,
Назол®,Оксиметазолин,спрей назальный дозированный,0.025 мг/доза,
ОКСИМЕТАЗОЛИН НОРДУМ®,Оксиметазолин,спрей назальный дозированный,22.5 мкг/доза,
Оксиметаген®,Оксиметазолин,спрей назальный дозированный,22.5 мкг/доза,
Ринделит окси,Оксиметазолин,спрей назальный дозированный,22.5 мкг/доза,
Оксиметаген®,Оксиметазолин,капли назальные,0.05%,
Дезринит,Мометазон,спрей назальный дозированный,50 мкг/доза,
Нозефрин,Мометазон,спрей назальный дозированный,50 мкг/доза,
АЛЛЕРГОМЕКС,Мометазон,спрей назальный дозированный,50 мкг/доза,
МОМЕТАЗОН,Мометазон,спрей назальный дозированный,50 мкг/доза,
Риалтрис Моно,Мометазон,спрей назальный дозированный,50 мкг/доза,
Дитамал,Мометазон,спрей назальный дозированный,50 мкг/доза,
Момезал Аллерго,Мометазон,спрей назальный дозированный,50 мкг/доза,
Дезринит АЛЛЕРЖИ,Мометазон,спрей назальный дозированный,50 мкг/доза,
НОЗЕФРИН АЛЕРДЖИ,Мометазон,спрей назальный дозированный,50 мкг/доза,
Ринетазон,Мометазон,спрей назальный дозированный,50 мкг/доза,
Ропивакаин,Ропивакаин,раствор для инъекций,2 мг/мл,
Ропивакаин Каби,Ропивакаин,раствор для инъекций,"2 мг/мл, 5 мг/мл, 7.5 мг/мл, 10 мг/мл",
РОПИВАКАИН АВЕКСИМА,Ропивакаин,раствор для инъекций,"2 мг/мл, 5 мг/мл, 7.5 мг/мл, 10 мг/мл",
Ропивакаин,Ропивакаин,раствор для инъекций,"2 мг/мл, 5 мг/мл, 7.5 мг/мл, 10 мг/мл",
Ропивакаин,Ропивакаин,раствор для инъекций,"2 мг/мл, 5 мг/мл, 7.5 мг/мл, 10 мг/мл",
Ропивакаин,Ропивакаин,раствор для инъекций,"2 мг/мл, 5 мг/мл, 7.5 мг/мл, 10 мг/мл",
РОПИВАКАИН,Ропивакаин,раствор для инъекций,"2 мг/мл, 5 мг/мл, 7.5 мг/мл, 10 мг/мл",
Небиволол,Небиволол,таблетки,5 мг,
Небиволол,Небиволол,таблетки,5 мг,
НЕБИВОЛОЛ ВЕЛФАРМ,Небиволол,таблетки,"2.5 мг, 5 мг, 10 мг",
Альбатензин,Небиволол,таблетки,5 мг,
Небиволол Реневал,Небиволол,таблетки,"2.5 мг, 5 мг, 10 мг",
ОД-Неб,Небиволол,таблетки,5 мг,
Небиволол,Небиволол,таблетки,5 мг,
Небиволол Канон,Небиволол,таблетки,5 мг,
Небиволол Канон,Небиволол,таблетки,"2.5 мг, 10 мг",
Небиволол-АЛСИ,Небиволол,таблетки,5 мг,
Небиватор®,Небиволол,таблетки,5 мг,
Небиволол-СЗ,Небиволол,таблетки,5 мг,
КАРДИХАРТ,Небиволол,таблетки,5 мг,
Небиволол-Тева,Небиволол,таблетки,5 мг,
Бинелол®,Небиволол,таблетки,5 мг,
НЕПАФЕНАК-ОПТИК,Непафенак,капли глазные,1 мг/мл,
Апфекто,Непафенак,капли глазные,1 мг/мл,
Лейкостим,Филграстим,раствор для внутривенного и подкожного введения,"150 мкг/мл, 300 мкг/мл",
Лейкостим,Филграстим,раствор для внутривенного и подкожного введения,600 мкг/мл (60 млн. МЕ/мл),
Лейкостим,Филграстим,раствор для внутривенного и подкожного введения,300 мкг/мл (30 млн.МЕ/мл),
Зарсио,Филграстим,раствор для внутривенного и подкожного введения,"30 млн.ЕД/0.5 мл, 48 млн.ЕД/0.5 мл",
Теваграстим,Филграстим,раствор для внутривенного и подкожного введения,60 млн. МЕ/мл,
Граноген,Филграстим,раствор для внутривенного и подкожного введения,300 мкг/мл (30 млн.МЕ/мл),
ИПИКРАТ,Ипидакрин,раствор для внутримышечного и подкожного введения,"5 мг/мл, 15 мг/мл",
ИПИГРИКС®,Ипидакрин,раствор для внутримышечного и подкожного введения,"5 мг/мл, 15 мг/мл",
Ипидакрин,Ипидакрин,раствор для внутримышечного и подкожного введения,"5 мг/мл, 15 мг/мл",
Аксамон,Ипидакрин,раствор для внутримышечного и подкожного введения,"5 мг/мл, 15 мг/мл",
Ипидакрин-СЗ,Ипидакрин,раствор для внутримышечного и подкожного введения,"5 мг/мл, 15 мг/мл",
ИПИДАКРИН ВЕЛФАРМ,Ипидакрин,раствор для внутримышечного и подкожного введения,"5 мг/мл, 15 мг/мл",
ИПИДАКРИН,Ипидакрин,раствор для внутримышечного и подкожного введения,"5 мг/мл, 15 мг/мл",
Ипигрикс,Ипидакрин,таблетки,20 мг,
Ипидакрин Канон,Ипидакрин,таблетки,20 мг,
Ипидакрин,Ипидакрин,таблетки,20 мг,
Ипидакрин-СЗ,Ипидакрин,таблетки,20 мг,
ИПИКРАТ,Ипидакрин,таблетки,20 мг,
ИПИДАКРИН,Ипидакрин,таблетки,20 мг,
Ипидакрин,Ипидакрин,таблетки,20 мг,
Аксамон,Ипидакрин,таблетки,20 мг,
Габапентин,Габапентин,капсулы,"100 мг, 300 мг, 400 мг",
Габагамма,Габапентин,капсулы,"100 мг, 300 мг, 400 мг",
Габапентин,Габапентин,капсулы,"100 мг, 300 мг, 400 мг",
Катэна,Габапентин,капсулы,"100 мг, 300 мг, 400 мг",
Флутриксан,Сорафениб,"таблетки, покрытые пленочной оболочкой",200 мг,
Сорафениб,Сорафениб,"таблетки, покрытые пленочной оболочкой",200 мг,
Рафсонс®,Сорафениб,"таблетки, покрытые пленочной оболочкой",200 мг,
Сорафениб,Сорафениб,"таблетки, покрытые пленочной оболочкой",200 мг,
Эффароникс®,Сорафениб,"таблетки, покрытые пленочной оболочкой",200 мг,"Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
СОРАФЕНИБ,Сорафениб,"таблетки, покрытые пленочной оболочкой",200 мг,
Сорафениб,Сорафениб,"таблетки, покрытые пленочной оболочкой",200 мг,
СОРАФЕНИБ-ПРОМОМЕД,Сорафениб,"таблетки, покрытые пленочной оболочкой",200 мг,
Сорафениб-АМЕДАРТ,Сорафениб,"таблетки диспергируемые, покрытые пленочной оболочкой",200 мг,
Пемозар,Эзомепразол,лиофилизат для приготовления раствора для внутривенного введения,40 мг,
Эзомепразол ПСК,Эзомепразол,лиофилизат для приготовления раствора для внутривенного введения,40 мг,
Эзомепразол,Эзомепразол,лиофилизат для приготовления раствора для внутривенного введения,40 мг,
Эсом,Эзомепразол,лиофилизат для приготовления раствора для внутривенного введения,40 мг,
Эзомепразол,Эзомепразол,лиофилизат для приготовления раствора для внутривенного введения,40 мг,
Эзомепразол,Эзомепразол,лиофилизат для приготовления раствора для внутривенного введения,40 мг,
Эзомепразол,Эзомепразол,лиофилизат для приготовления раствора для внутривенного введения,"20 мг, 40 мг",
ЭЗОМЕПРАЗОЛ-БЕЛМЕД,Эзомепразол,лиофилизат для приготовления раствора для внутривенного введения,40 мг,
Пемозар,Эзомепразол,"таблетки кишечнорастворимые, покрытые пленочной оболочкой","20 мг, 40 мг",
Эмезол,Эзомепразол,"таблетки кишечнорастворимые, покрытые пленочной оболочкой","20 мг, 40 мг",
Эзомепразол Канон,Эзомепразол,"таблетки кишечнорастворимые, покрытые пленочной оболочкой","20 мг, 40 мг",
Эзомепразол-Виал,Эзомепразол,"таблетки, покрытые кишечнорастворимой оболочкой","20 мг, 40 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Эманера,Эзомепразол,капсулы кишечнорастворимые,"20 мг, 40 мг",
Эзомепразол Канон,Эзомепразол,капсулы кишечнорастворимые,"10 мг, 20 мг, 40 мг",
Эзомепразол,Эзомепразол,капсулы кишечнорастворимые,"20 мг, 40 мг",
Некспра®,Эзомепразол,капсулы кишечнорастворимые,"20 мг, 40 мг",
Веро-Нетилмицин,Нетилмицин,раствор для внутривенного и внутримышечного введения,"100 мг/мл, 25 мг/мл",
Нетилмицин Протекх,Нетилмицин,раствор для внутривенного и внутримышечного введения,"100 мг/мл, 25 мг/мл",
Поэксо,Пэгфилграстим,раствор для подкожного введения,10 мг/мл,
Перициазин,Перициазин,капсулы,"10 мг, 20 мг, 5 мг",
Себозол,Кетоконазол,шампунь,20 мг/мл,
Миканисал,Кетоконазол,шампунь,20 мг/г,
КЕТОКОНАЗОЛ,Кетоконазол,шампунь,0.02,
Кетоконазол ВЕРТЕКС,Кетоконазол,шампунь,0.02,
Перхотал,Кетоконазол,шампунь,"1%, 2%",
Микозорал®,Кетоконазол,шампунь,0.02,
БилазапТАБ®,Биластин,таблетки,20 мг,
Цисатракурия безилат,Цисатракурия безилат,раствор для внутривенного введения,2 мг/мл,
Цисатракурия безилат,Цисатракурия безилат,раствор для внутривенного введения,2 мг/мл,
Цисатракурия безилат,Цисатракурия безилат,раствор для внутривенного введения,2 мг/мл,
Нимопин,Нимодипин,раствор для инфузий,0.2 мг/мл,
Нимодипин,Нимодипин,раствор для инфузий,0.2 мг/мл,
Вазонимид,Нимодипин,раствор для инфузий,0.2 мг/мл,
Нимодипин-Эво,Нимодипин,раствор для инфузий,0.2 мг/мл,
Нимодипин-натив,Нимодипин,раствор для инфузий,0.2 мг/мл,
РинФаст® Микс 30,Инсулин аспарт двухфазный,суспензия для подкожного введения,100 ЕД/мл,
Диаглинид,Репаглинид,таблетки,"1 мг, 2 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
РинФаст,Инсулин аспарт,раствор для внутривенного и подкожного введения,100 МЕ/мл,
РОСИНСУЛИН АСПАРТ Р,Инсулин аспарт,раствор для внутривенного и подкожного введения,100 МЕ/мл,
РинФаст® Ник,Инсулин аспарт,раствор для подкожного и внутривенного введения,100 ЕД/мл,
АриоСэвен,Эптаког альфа (активированный),лиофилизат для приготовления раствора для внутривенного введения,1.2 мг (60КЕД),
АриоСэвен,Эптаког альфа (активированный),лиофилизат для приготовления раствора для внутривенного введения,"2.4 мг (120 КЕД), 4.8 мг (240 КЕД)",
Коагил-VII,Эптаког альфа (активированный),лиофилизат для приготовления раствора для внутривенного введения,"1.2 мг, 2.4 мг, 4.8 мг",
Релиназол,Позаконазол,суспензия для приема внутрь,40 мг/мл,Пациенты с дефицитом сахаразы/изомальтазы и глюкозо-галактозной мальабсорбцией
Позаконазол,Позаконазол,суспензия для приема внутрь,40 мг/мл,
Позаконазол Кроно,Позаконазол,суспензия для приема внутрь,40 мг/мл,
Пирацетам-Ферейн,Пирацетам,раствор для внутривенного и внутримышечного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного и внутримышечного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного и внутримышечного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
ПИРАЦЕТАМ ВЕЛФАРМ,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам буфус,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам-ЭСКОМ,Пирацетам,раствор для внутривенного введения,200 мг/мл,
ПИРАЦЕТАМ,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам ДС,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Пирацетам,Пирацетам,раствор для внутривенного введения,200 мг/мл,
Максотропил,Пирацетам,таблетки шипучие,600 мг,"Пациенты с фенилкетонурией, непереносимостью фруктозы"
Пирацетам,Пирацетам,"таблетки, покрытые пленочной оболочкой","200 мг, 400 мг",
Амлодипин Алкалоид,Амлодипин,таблетки,"5 мг, 10 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Амлодикор,Амлодипин,таблетки,"5 мг, 10 мг",
Амлодипин,Амлодипин,таблетки,"5 мг, 10 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Амлодипин-АКОС,Амлодипин,таблетки,"2.5 мг, 5 мг, 10 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Амлодипин-АЛСИ,Амлодипин,таблетки,"5 мг, 10 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Амлодипин,Амлодипин,таблетки,5 мг,"Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Кардилопин®,Амлодипин,таблетки,"2.5 мг, 5 мг, 10 мг",
Калчек®,Амлодипин,таблетки,"5 мг, 10 мг",
Амлодипин-Боримед,Амлодипин,таблетки,"5 мг, 10 мг",
Амлодипин,Амлодипин,таблетки,"5 мг, 10 мг",
Амлодипин,Амлодипин,таблетки,"5 мг, 10 мг",
Амлодипин-Тева,Амлодипин,таблетки,"5 мг, 10 мг",
Амлодипин-КРКА,Амлодипин,таблетки,"5 мг, 10 мг",
АМЛОВАС®,Амлодипин,таблетки,5 мг,
Ритонавир,Ритонавир,"таблетки, покрытые пленочной оболочкой",100 мг,
Ритонавир-ФС,Ритонавир,"таблетки, покрытые пленочной оболочкой",100 мг,
Ритонавир,Ритонавир,"таблетки, покрытые пленочной оболочкой",100 мг,
ВАРТОВАН®,Ритонавир,"таблетки, покрытые пленочной оболочкой",100 мг,
Ритонавир ПСК,Ритонавир,"таблетки, покрытые пленочной оболочкой",100 мг,
Ритонавир,Ритонавир,капсулы,100 мг,"Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Ритонавир-Эдвансд,Ритонавир,капсулы,100 мг,"Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Ритонавир-100,Ритонавир,капсулы,100 мг,
Дротаверин ДС,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
ДРОТАВЕРИН-ЭЛЛАРА®,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
Дротаверин Реневал,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
Дротаверин,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
Дротаверин,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
НО-ПАРЕТ,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
ДРОТАВЕРИН,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
Дротаверин,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
Дротаверин,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
Дротаверин-СОЛОфарм,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
Дротаверин Велфарм,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
НОШ-БРА®,Дротаверин,раствор для внутривенного и внутримышечного введения,20 мг/мл,
Дротаверин Реневал,Дротаверин,раствор для внутривенного и внутримышечного введения,40 мг,
Дротаверин,Дротаверин,раствор для инъекций,20 мг/мл,
Дротаверин,Дротаверин,раствор для инъекций,20 мг/мл,
Дротаверин,Дротаверин,раствор для инъекций,20 мг/мл,
Дротаверин,Дротаверин,раствор для инъекций,20 мг/мл,
Дротаверин,Дротаверин,раствор для инъекций,20 мг/мл,
Дротаверин,Дротаверин,раствор для инъекций,20 мг/мл,
Дротаверин,Дротаверин,раствор для инъекций,20 мг/мл,
Дротаверин,Дротаверин,таблетки,40 мг,
Спазмол,Дротаверин,таблетки,40 мг,
Дротаверин,Дротаверин,таблетки,40 мг,
Дротаверин,Дротаверин,таблетки,40 мг,
Дротаверин-Тева,Дротаверин,таблетки,40 мг,
Дротаверин,Дротаверин,таблетки,40 мг,
Нош-Бра,Дротаверин,таблетки,40 мг,
Дротаверин,Дротаверин,таблетки,"40 мг, 80 мг",
Брудол для детей,Ибупрофен,суппозитории ректальные,"125 мг, 60 мг",
Ибупрофен Фармасинтез,Ибупрофен,суппозитории ректальные,60 мг,
Ибупрофен для детей,Ибупрофен,суппозитории ректальные,60 мг,
Ибупрофен,Ибупрофен,суппозитории ректальные,60 мг,
Ибупрофен ФТ,Ибупрофен,суспензия для приема внутрь,"100 мг/5 мл, 200 мг/5 мл",
Ибупрофен Кидс,Ибупрофен,суспензия для приема внутрь,100 мг/5 мл,
Ибупрофен ВП,Ибупрофен,суспензия для приема внутрь,100 мг/5 мл,
ИБУПРОФЕН,Ибупрофен,суспензия для приема внутрь,100 мг/5 мл,
